=== MASTER SUMMARY REPORT ===
                  dataset_name          tier  wql_geometric_mean  mase_geometric_mean  num_processed_series  processing_time_seconds   target_column  workers_used                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        processed_series_ids  too_short_count  invalid_count  streaming_mode
10                    dominick        medium            0.418649             1.303069                    47               154.047853          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [T078726, T025955, T031743, T014902, T072957, T005716, T008936, T052435, T053018, T079966, T074437, T033480, T067802, T090376, T000690, T089364, T052864, T088382, T029723, T011943, T049590, T079559, T058746, T023598, T016458, T039960, T061545, T084759, T086972, T099139, T078192, T080288, T083170, T007875, T005904, T009508, T049878, T071389, T000149, T064865, T000856, T062605, T009842, T044987, T085659, T030822, T080510]                0             53            True
0            electricity_15min  medium_large            0.062935             0.656642                    99                72.718884  consumption_kW            16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [MT_328, MT_034, MT_016, MT_315, MT_058, MT_240, MT_077, MT_120, MT_306, MT_127, MT_234, MT_040, MT_154, MT_056, MT_156, MT_279, MT_001, MT_232, MT_335, MT_102, MT_010, MT_181, MT_073, MT_238, MT_256, MT_138, MT_226, MT_195, MT_194, MT_367, MT_026, MT_109, MT_043, MT_358, MT_289, MT_115, MT_064, MT_023, MT_153, MT_177, MT_250, MT_298, MT_031, MT_220, MT_110, MT_125, MT_091, MT_057, MT_006, MT_046, MT_352, MT_146, MT_287, MT_219, MT_251, MT_343, MT_094, MT_004, MT_350, MT_078, MT_133, MT_311, MT_079, MT_047, MT_221, MT_074, MT_230, MT_327, MT_209, MT_083, MT_095, MT_196, MT_312, MT_293, MT_346, MT_193, MT_076, MT_085, MT_359, MT_017, MT_067, MT_284, MT_008, MT_114, MT_117, MT_329, MT_324, MT_275, MT_164, MT_111, MT_369, MT_061, MT_158, MT_322, MT_228, MT_142, MT_018, MT_247, MT_025]                0              1           False
31                       ercot        medium                 NaN                  NaN                     0                30.125309          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          []                0              8            True
39               exchange_rate    very_small            0.005531             1.464314                     8                10.288380          target             4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [currency_2, currency_6, currency_1, currency_8, currency_3, currency_5, currency_4, currency_7]                0              0           False
32                    m4_daily         small            0.018883             2.257228                   510               228.755804          target             8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [T001611, T001604, T001608, T001603, T001610, T001605, T001612, T001607, T001606, T001609, T003559, T003518, T002389, T002703, T003457, T002279, T002094, T002632, T002272, T002535, T002065, T002387, T002894, T003563, T003588, T002338, T002516, T003083, T003545, T002553, T003419, T002210, T002255, T003280, T003138, T002416, T003200, T002310, T003297, T003244, T003397, T002159, T002333, T002625, T002823, T003435, T003019, T002759, T002842, T002596, T002100, T002176, T002815, T002429, T002309, T003133, T002663, T002739, T002388, T002197, T003334, T002219, T002923, T003390, T002238, T002549, T002816, T002649, T003298, T003226, T002296, T002589, T002058, T003412, T003029, T002084, T002341, T002134, T003125, T003584, T003491, T002463, T002727, T003548, T002528, T002671, T002203, T003337, T002570, T002409, T003036, T002601, T003192, T003508, T002714, T002274, T002086, T002105, T003308, T002111, ...]                0              0           False
14                   m4_hourly        medium            0.023856             0.338906                   100                57.019317          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [T000358, T000350, T000373, T000399, T000369, T000072, T000262, T000140, T000093, T000070, T000118, T000131, T000336, T000055, T000126, T000376, T000056, T000291, T000365, T000084, T000116, T000009, T000374, T000137, T000320, T000402, T000231, T000090, T000094, T000173, T000030, T000141, T000104, T000079, T000033, T000290, T000286, T000409, T000222, T000361, T000015, T000311, T000000, T000317, T000272, T000124, T000271, T000184, T000275, T000360, T000225, T000355, T000364, T000274, T000175, T000073, T000042, T000165, T000077, T000039, T000401, T000025, T000155, T000180, T000347, T000266, T000022, T000046, T000078, T000152, T000082, T000076, T000057, T000110, T000024, T000017, T000238, T000405, T000031, T000283, T000157, T000203, T000208, T000192, T000234, T000005, T000045, T000245, T000346, T000195, T000382, T000400, T000296, T000003, T000018, T000250, T000060, T000390, T000408, T000063]                0              0           False
17                  m4_monthly         small            0.054346             1.490170                   600               255.385949          target             8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [T025436, T025109, T024884, T025201, T026594, T021552, T024752, T025206, T026587, T021168, T022100, T024369, T021392, T024004, T025185, T022024, T023155, T026417, T025802, T021444, T021071, T022956, T025324, T023977, T024226, T024308, T022388, T024176, T024375, T021687, T026253, T023745, T024319, T021960, T021839, T026651, T021092, T025611, T025300, T021602, T021742, T026315, T021324, T021310, T023620, T022172, T022120, T022402, T026086, T021703, T022634, T026387, T021456, T026657, T022577, T022474, T022723, T025394, T024695, T025531, T024496, T022078, T021923, T022341, T024926, T022164, T026715, T024343, T024609, T023594, T023610, T021148, T021315, T024529, T022586, T023324, T022709, T022530, T025431, T022609, T025054, T023647, T024995, T025461, T021337, T022712, T026148, T025083, T025889, T023798, T021158, T022504, T025876, T026615, T023575, T022557, T022732, T025622, T023154, T023785, ...]                0              0           False
19           mexico_city_bikes  medium_large            0.602334             0.718259                   100                56.717371          target            16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [64, 160, 369, 251, 389, 274, 233, 145, 378, 104, 189, 271, 314, 266, 186, 35, 59, 122, 217, 90, 475, 348, 94, 16, 152, 179, 440, 84, 164, 157, 49, 163, 22, 100, 386, 166, 278, 258, 7, 370, 268-269, 479, 125, 372, 1, 106, 88, 25, 170, 293, 469, 381, 436, 2, 111, 447, 458, 95, 309, 334, 433, 130, 58, 330, 72, 231, 400, 158-159, 336, 311, 91, 212, 176, 158, 93, 31, 299, 165, 169, 300, 376, 86, 211, 52, 431, 205, 471, 470, 207, 329, 397, 172, 162, 477, 109, 450, 430, 112, 73, 5]                0              0           False
29            monash_car_parts        medium            1.366434             0.834447                    75                59.380116          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [T001083, T001701, T001795, T001259, T001610, T001791, T002458, T000761, T002120, T002344, T002592, T001900, T001195, T000670, T000937, T001189, T002154, T002461, T000498, T001234, T001463, T001338, T002505, T002042, T001053, T002541, T002468, T002115, T002203, T000838, T001467, T001125, T001533, T001756, T000270, T001499, T002575, T001100, T000460, T001532, T000841, T001662, T000457, T001216, T002206, T002430, T001831, T000655, T000387, T001828, T000486, T002087, T001010, T001967, T002465, T001814, T002313, T001498, T002555, T002481, T001242, T000073, T000719, T000554, T001087, T001313, T000605, T000916, T000748, T002026, T000408, T001583, T002107, T001370, T001260]                0             25           False
38         monash_covid_deaths        medium            0.021322             2.893709                    86                47.384096          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [T000181, T000119, T000216, T000045, T000256, T000146, T000115, T000097, T000086, T000073, T000215, T000220, T000030, T000009, T000118, T000120, T000024, T000213, T000259, T000200, T000162, T000116, T000006, T000222, T000177, T000141, T000221, T000067, T000019, T000126, T000152, T000068, T000111, T000060, T000015, T000193, T000238, T000201, T000033, T000137, T000247, T000016, T000125, T000258, T000075, T000025, T000176, T000197, T000109, T000018, T000127, T000147, T000244, T000154, T000185, T000066, T000113, T000079, T000055, T000224, T000190, T000038, T000148, T000090, T000239, T000084, T000182, T000114, T000112, T000173, T000101, T000234, T000144, T000096, T000194, T000092, T000069, T000002, T000232, T000158, T000143, T000165, T000240, T000074, T000264, T000029]                0             14           False
8    monash_electricity_weekly         large            0.058882             1.231237                   100                60.759409          target            20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [T000173, T000132, T000197, T000009, T000104, T000119, T000250, T000158, T000226, T000310, T000196, T000090, T000277, T000084, T000185, T000268, T000126, T000078, T000025, T000005, T000204, T000055, T000046, T000304, T000298, T000114, T000057, T000077, T000195, T000254, T000108, T000208, T000063, T000209, T000247, T000172, T000290, T000033, T000143, T000164, T000302, T000042, T000256, T000316, T000045, T000301, T000082, T000094, T000016, T000075, T000093, T000007, T000179, T000076, T000286, T000282, T000313, T000003, T000225, T000116, T000229, T000060, T000289, T000260, T000118, T000180, T000017, T000024, T000176, T000110, T000073, T000101, T000137, T000281, T000294, T000113, T000218, T000318, T000244, T000031, T000267, T000168, T000148, T000221, T000227, T000139, T000059, T000163, T000006, T000198, T000030, T000022, T000284, T000246, T000056, T000167, T000145, T000206, T000081, T000147]                0              0           False
13              monash_fred_md        medium            0.020175             2.145847                   100                60.664211          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [T000076, T000010, T000004, T000099, T000070, T000066, T000030, T000045, T000094, T000011, T000078, T000047, T000000, T000079, T000018, T000105, T000055, T000077, T000065, T000042, T000012, T000036, T000067, T000026, T000022, T000031, T000056, T000096, T000015, T000044, T000089, T000088, T000009, T000033, T000068, T000101, T000028, T000040, T000005, T000053, T000081, T000039, T000035, T000016, T000080, T000034, T000007, T000043, T000064, T000106, T000027, T000019, T000098, T000091, T000025, T000062, T000049, T000013, T000024, T000003, T000017, T000038, T000008, T000083, T000006, T000069, T000093, T000085, T000054, T000050, T000072, T000046, T000073, T000061, T000103, T000084, T000041, T000058, T000048, T000104, T000057, T000075, T000032, T000100, T000059, T000063, T000090, T000037, T000029, T000095, T000001, T000052, T000021, T000002, T000023, T000087, T000097, T000074, T000086, T000082]                0              0           False
5              monash_hospital        medium            0.144406             0.840831                   100                60.056079          target            12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [T000668, T000325, T000624, T000690, T000522, T000205, T000098, T000337, T000568, T000149, T000498, T000213, T000200, T000266, T000614, T000357, T000501, T000457, T000707, T000214, T000620, T000544, T000087, T000209, T000282, T000210, T000384, T000639, T000329, T000437, T000121, T000364, T000425, T000301, T000068, T000339, T000579, T000067, T000582, T000079, T000452, T000604, T000031, T000635, T000034, T000032, T000040, T000078, T000300, T000487, T000629, T000397, T000502, T000451, T000621, T000235, T000362, T000430, T000692, T000533, T000754, T000764, T000519, T000255, T000480, T000212, T000211, T000085, T000240, T000418, T000055, T000720, T000512, T000110, T000587, T000363, T000734, T000396, T000421, T000011, T000193, T000484, T000175, T000513, T000182, T000748, T000156, T000310, T000066, T000332, T000138, T000351, T000082, T000468, T000405, T000646, T000251, T000661, T000221, T000077]                0              0           False
